path_id,link_id,number_of_slices
407,7,10
407,9,10
407,10,10
407,25,10
407,27,10
8,8,4
64,9,22
64,10,22
0,8,16
1,0,12
1,19,12
1,27,12
393,14,16
393,17,16
393,18,16
393,19,16
2,8,14
3,0,16
3,19,16
3,27,16
387,13,12
387,16,12
387,21,12
4,8,18
5,0,16
5,19,16
5,27,16
397,14,22
397,17,22
397,18,22
397,19,22
6,8,20
7,0,6
7,19,6
7,27,6
9,0,8
9,19,8
9,27,8
401,1,20
401,13,20
401,16,20
401,23,20
10,8,10
10,9,10
11,0,12
11,18,12
11,19,12
11,22,12
395,14,20
395,17,20
395,18,20
395,19,20
12,8,4
12,9,4
13,0,12
13,18,12
13,19,12
13,22,12
405,14,4
405,17,4
405,18,4
405,25,4
14,8,18
14,9,18
15,0,4
15,18,4
15,19,4
15,22,4
16,0,4
16,7,4
16,17,4
16,18,4
16,19,4
17,8,16
17,9,16
17,10,16
409,7,10
409,9,10
409,10,10
409,25,10
409,27,10
18,0,22
18,7,22
18,17,22
18,18,22
18,19,22
19,8,8
19,9,8
19,10,8
403,1,16
403,13,16
403,16,16
403,23,16
20,0,24
20,7,24
20,17,24
20,18,24
20,19,24
21,8,24
21,9,24
21,10,24
22,0,8
22,7,8
22,17,8
22,18,8
22,19,8
23,8,4
23,9,4
23,10,4
487,3,22
487,9,22
487,21,22
487,22,22
487,25,22
487,26,22
487,27,22
24,0,16
24,7,16
24,17,16
24,18,16
24,19,16
25,8,6
25,9,6
25,10,6
481,3,8
481,9,8
481,21,8
481,22,8
481,25,8
481,26,8
481,27,8
26,0,22
26,7,22
26,17,22
26,18,22
26,19,22
27,8,18
27,9,18
27,10,18
28,0,10
28,6,10
28,14,10
28,17,10
28,18,10
28,19,10
29,8,8
29,9,8
29,10,8
29,11,8
485,3,24
485,9,24
485,21,24
485,22,24
485,25,24
485,26,24
485,27,24
30,0,12
30,6,12
30,14,12
30,17,12
30,18,12
30,19,12
31,8,22
31,9,22
31,10,22
31,11,22
32,0,24
32,6,24
32,14,24
32,17,24
32,18,24
32,19,24
33,8,4
33,9,4
33,10,4
33,11,4
425,0,14
425,8,14
425,9,14
425,22,14
34,0,22
34,6,22
34,14,22
34,17,22
34,18,22
34,19,22
35,8,10
35,9,10
35,10,10
35,11,10
419,1,14
419,3,14
419,15,14
419,23,14
36,0,18
36,6,18
36,14,18
36,17,18
36,18,18
36,19,18
37,8,20
37,9,20
37,10,20
37,11,20
38,0,8
38,6,8
38,14,8
38,17,8
38,18,8
38,19,8
39,8,6
39,9,6
39,10,6
39,11,6
40,0,20
40,1,20
40,18,20
40,19,20
40,20,20
40,21,20
41,8,10
41,9,10
41,10,10
41,11,10
41,12,10
433,15,6
433,17,6
433,26,6
42,0,4
42,1,4
42,18,4
42,19,4
42,20,4
42,21,4
43,8,22
43,9,22
43,10,22
43,11,22
43,12,22
427,18,24
427,19,24
44,0,22
44,14,22
44,17,22
44,18,22
44,19,22
45,6,10
45,8,10
45,9,10
45,10,10
45,11,10
46,0,8
46,14,8
46,17,8
46,18,8
46,19,8
47,6,16
47,8,16
47,9,16
47,10,16
47,11,16
49,1,6
49,8,6
49,18,6
49,21,6
49,23,6
49,27,6
51,1,14
51,8,14
51,18,14
51,21,14
51,23,14
51,27,14
435,1,4
435,3,4
435,15,4
435,17,4
435,23,4
53,1,6
53,8,6
53,18,6
53,21,6
53,23,6
53,27,6
55,1,20
55,8,20
55,18,20
55,21,20
55,23,20
55,27,20
391,13,10
391,16,10
391,21,10
57,1,16
57,8,16
57,18,16
57,21,16
57,23,16
57,27,16
385,6,4
385,7,4
385,11,4
59,1,12
59,8,12
59,18,12
59,21,12
59,23,12
59,27,12
61,1,4
61,8,4
61,18,4
61,21,4
61,23,4
61,27,4
389,13,10
389,16,10
389,21,10
62,9,12
62,10,12
63,7,4
63,17,4
63,18,4
63,27,4
65,7,20
65,17,20
65,18,20
65,27,20
66,9,22
66,10,22
67,7,18
67,17,18
67,18,18
67,27,18
68,9,14
68,10,14
68,11,14
68,12,14
69,1,18
69,18,18
69,20,18
69,21,18
69,27,18
70,9,22
70,10,22
70,11,22
70,12,22
71,1,20
71,18,20
71,20,20
71,21,20
71,27,20
471,3,22
471,18,22
471,21,22
471,25,22
471,26,22
72,25,14
72,27,14
465,1,16
465,18,16
465,21,16
465,23,16
465,25,16
74,25,6
74,27,6
76,25,8
76,27,8
469,1,8
469,18,8
469,21,8
469,23,8
469,25,8
78,25,6
78,27,6
80,25,16
80,27,16
82,25,6
82,27,6
84,25,6
84,27,6
86,25,12
86,27,12
88,10,22
89,7,12
89,17,12
89,22,12
90,10,6
91,7,16
91,17,16
91,22,16
92,10,24
93,7,14
93,17,14
93,22,14
94,10,22
95,7,22
95,17,22
95,22,22
495,1,10
495,23,10
495,26,10
96,10,4
96,11,4
97,6,16
97,14,16
97,17,16
97,22,16
489,3,12
489,9,12
489,21,12
489,22,12
489,25,12
489,26,12
489,27,12
98,10,24
98,11,24
99,6,4
99,14,4
99,17,4
99,22,4
483,3,24
483,9,24
483,21,24
483,22,24
483,25,24
483,26,24
483,27,24
100,10,22
100,11,22
101,6,6
101,14,6
101,17,6
101,22,6
493,1,8
493,7,8
493,9,8
493,10,8
493,15,8
493,23,8
493,25,8
493,27,8
102,10,4
102,11,4
102,12,4
103,1,10
103,20,10
103,21,10
103,22,10
503,1,16
503,23,16
503,26,16
104,7,10
104,10,10
104,13,10
104,14,10
105,16,22
105,21,22
105,22,22
106,7,8
106,10,8
106,13,8
106,14,8
107,16,14
107,21,14
107,22,14
491,3,4
491,9,4
491,21,4
491,22,4
491,25,4
491,26,4
491,27,4
108,16,6
108,21,6
108,22,6
109,5,6
109,10,6
109,11,6
109,12,6
501,1,16
501,23,16
501,26,16
110,16,12
110,21,12
110,22,12
111,5,10
111,10,10
111,11,10
111,12,10
112,16,10
112,21,10
112,22,10
113,5,8
113,10,8
113,11,8
113,12,8
114,16,8
114,21,8
114,22,8
115,5,10
115,10,10
115,11,10
115,12,10
499,1,18
499,23,18
499,26,18
116,16,22
116,21,22
116,22,22
117,5,20
117,10,20
117,11,20
117,12,20
118,16,22
118,21,22
118,22,22
119,5,14
119,10,14
119,11,14
119,12,14
120,15,20
120,16,20
120,17,20
120,22,20
121,7,16
121,10,16
121,13,16
121,14,16
122,15,24
122,16,24
122,17,24
122,22,24
123,7,24
123,10,24
123,13,24
123,14,24
507,1,4
507,23,4
507,26,4
124,14,20
124,17,20
124,22,20
125,6,18
125,10,18
125,11,18
127,6,10
127,10,10
127,11,10
128,14,14
128,17,14
128,22,14
260,3,14
260,7,14
260,15,14
260,26,14
132,14,24
132,17,24
132,22,24
258,3,14
258,7,14
258,15,14
258,26,14
262,3,18
262,7,18
262,15,18
262,26,18
142,7,4
142,10,4
256,3,22
256,7,22
256,15,22
256,26,22
266,3,18
266,7,18
266,15,18
266,26,18
276,12,24
276,20,24
276,23,24
149,17,8
149,22,8
264,3,18
264,7,18
264,15,18
264,26,18
274,12,16
274,20,16
278,3,18
278,6,18
278,13,18
278,16,18
278,26,18
272,12,14
272,20,14
292,20,12
292,23,12
290,20,14
290,23,14
300,3,24
300,5,24
300,16,24
300,26,24
294,20,24
294,23,24
288,20,16
288,23,16
298,3,4
298,5,4
298,16,4
298,26,4
179,18,4
179,19,4
179,22,4
302,3,18
302,5,18
302,16,18
302,26,18
296,3,16
296,5,16
296,16,16
296,26,16
304,3,12
304,5,12
304,16,12
304,26,12
378,16,12
378,26,12
382,16,18
382,26,18
376,3,16
376,5,16
376,20,16
376,23,16
348,5,16
348,20,16
348,23,16
342,5,10
342,20,10
342,23,10
286,20,14
286,23,14
280,12,8
280,20,8
280,23,8
240,6,22
240,11,22
242,6,10
242,11,10
372,16,20
372,26,20
244,6,10
244,11,10
366,16,8
366,26,8
246,6,16
246,11,16
370,16,22
370,26,22
249,11,24
249,12,24
249,20,24
380,16,6
380,26,6
251,11,14
251,12,14
251,20,14
374,16,8
374,26,8
254,3,8
254,7,8
254,15,8
254,26,8
368,16,6
368,26,6
277,3,8
277,6,8
277,13,8
277,16,8
277,26,8
281,3,16
281,6,16
281,13,16
281,16,16
281,26,16
291,3,8
291,5,8
291,16,8
291,26,8
412,15,20
412,26,20
414,15,4
414,26,4
416,15,6
416,26,6
438,19,10
438,25,10
440,19,16
440,25,16
442,19,6
442,25,6
446,19,10
446,25,10
448,19,20
448,25,20
