ID,Source_ID,Destination_ID
0,62,14
1,58,44
2,1,62
3,24,44
4,49,9
5,47,69
6,3,69
7,49,43
8,56,29
9,8,29
10,8,52
11,16,3
12,75,22
13,42,28
14,31,28
15,31,65
16,60,17
17,57,23
18,22,41
19,16,75
20,30,38
21,21,41
22,7,53
23,7,59
24,71,22
25,30,71
26,30,14
27,2,69
28,3,69
29,2,47
30,7,44
31,27,4
32,73,27
33,73,24
34,70,24
35,70,66
36,1,12
37,62,40
38,12,46
39,47,12
40,21,14
41,32,54
42,32,21
43,38,47
44,38,14
45,58,64
46,64,36
48,66,48
49,4,48
50,19,53
51,19,59
52,4,40
53,40,50
54,46,50
55,46,43
56,59,58
57,53,67
58,53,26
59,26,43
60,9,45
61,65,10
62,18,10
63,18,56
64,56,17
65,52,17
66,52,25
67,60,25
68,58,60
69,67,33
70,15,51
71,23,5
72,23,35
73,11,15
74,15,74
75,68,74
76,20,25
77,64,20
78,57,61
79,57,35
80,58,44
81,6,5
82,5,13
83,36,5
84,26,50
85,67,45
86,26,45
87,43,45
89,66,5
90,6,66
91,53,59
92,13,37
93,36,37
94,36,72
95,66,72
96,43,9
97,6,36
98,6,72
101,42,33
102,42,65
103,18,55
104,59,55
105,54,37
106,11,54
107,51,35
108,68,11
109,34,63
110,34,39
111,61,20
112,20,63
113,61,39
