ID,Source_ID,Destination_ID
0,16,6
1,24,1
2,14,11
3,39,11
4,43,15
5,3,15
6,28,9
7,33,22
8,22,19
9,33,19
10,23,40
11,23,35
13,38,41
14,38,29
15,31,37
16,25,13
17,25,2
18,10,2
19,25,10
20,5,10
21,5,13
22,30,17
23,41,18
24,15,41
25,6,21
26,14,24
27,26,11
28,1,26
29,39,43
30,42,29
31,28,21
32,4,22
34,12,17
35,12,18
36,27,33
37,8,27
38,39,3
39,4,21
40,36,7
41,8,16
42,36,29
43,37,7
44,31,30
45,43,38
46,16,38
47,11,32
48,40,13
49,34,13
50,7,35
51,7,13
52,35,13
53,34,40
54,34,41
55,18,29
56,9,20
57,20,16
58,42,6
59,39,32
60,36,29
61,36,7
