ID,Source_ID,Destination_ID
0,43,16
1,43,19
2,14,19
3,35,33
4,33,31
5,33,31
6,28,31
7,28,22
8,1,22
9,21,30
10,21,27
11,27,2
12,40,43
13,44,40
14,44,4
15,5,4
16,29,5
17,34,29
18,34,6
19,6,7
20,7,31
21,2,16
22,14,35
23,30,1
24,17,3
25,42,12
27,44,40
28,44,29
29,40,8
30,38,25
31,18,30
32,26,43
33,37,2
34,37,12
35,38,36
36,3,22
37,18,15
38,36,11
39,8,24
40,25,24
41,14,19
42,43,19
43,42,30
45,17,35
46,9,10
47,44,41
48,39,9
49,39,20
50,43,32
51,15,2
52,2,13
53,26,13
54,29,33
55,23,10
56,20,10
57,11,20
58,19,20
59,41,24
