ID,Source_ID,Destination_ID
0,33,27
1,39,5
2,33,39
3,39,40
4,1,48
5,29,48
6,1,48
7,35,24
8,64,26
9,64,58
10,35,59
11,73,59
12,73,62
13,42,1
14,19,52
15,11,52
16,11,74
17,57,70
18,51,14
19,50,51
20,42,50
21,4,16
22,53,70
23,22,70
24,8,71
25,4,36
26,6,37
27,8,6
28,55,14
29,36,51
30,4,40
31,16,29
32,57,10
33,23,60
34,23,53
35,43,53
36,54,24
37,44,29
38,44,48
39,43,20
40,57,66
41,46,5
42,60,46
43,66,10
44,28,66
45,28,10
46,66,9
47,22,70
48,27,3
49,29,27
50,16,40
51,34,56
52,55,40
53,34,55
54,17,67
55,17,41
57,22,49
58,49,31
59,37,38
60,41,25
63,3,47
64,3,58
65,5,47
66,31,37
67,17,20
68,20,67
69,20,37
70,9,47
71,26,75
72,17,37
73,66,45
74,41,20
75,17,31
76,45,75
77,38,25
78,9,75
79,58,75
80,31,25
81,31,67
82,58,26
83,10,22
84,9,58
85,74,72
86,65,72
87,62,24
88,62,12
89,45,18
90,65,35
91,19,18
92,19,74
93,65,68
94,10,68
95,22,54
96,54,12
97,13,30
98,6,71
99,21,13
100,56,25
101,21,56
102,30,71
103,15,21
104,13,63
105,15,63
106,7,2
107,7,32
108,61,32
109,69,2
110,69,61
111,61,12
112,49,61
113,8,69
