ID,Source_ID,Destination_ID
0,54,89
1,15,68
2,63,68
3,70,68
4,6,68
5,20,65
6,69,60
7,65,60
8,4,69
9,89,85
11,15,42
12,42,16
13,16,95
14,16,70
17,56,34
18,34,23
19,72,9
20,72,97
21,97,64
22,7,6
23,91,6
24,7,80
25,63,6
26,41,11
27,31,76
28,55,66
29,66,94
30,53,77
31,12,96
32,26,21
33,58,88
34,58,39
35,58,30
36,58,24
37,21,61
38,75,18
39,75,3
40,75,40
41,49,57
42,49,52
43,49,93
44,57,87
45,87,52
46,61,43
47,43,18
48,61,3
49,81,28
50,81,44
51,81,46
52,28,14
53,28,38
54,14,86
55,71,93
56,71,13
57,96,79
58,67,50
59,10,77
60,8,40
61,84,27
62,35,27
63,95,17
64,40,92
65,39,88
66,24,88
67,78,33
68,78,33
69,78,62
70,45,1
71,45,59
72,1,59
73,54,96
74,54,6
75,54,39
76,22,12
77,22,94
78,73,9
79,73,76
80,73,64
81,73,25
82,73,90
83,5,70
84,5,2
85,5,94
86,5,30
87,26,8
88,26,88
89,26,75
90,26,75
91,26,92
92,26,44
93,26,24
94,26,40
95,48,81
96,48,50
97,48,92
98,48,47
99,49,32
100,49,47
101,49,46
102,11,31
103,6,76
104,74,32
105,74,2
106,54,68
107,54,4
108,6,68
109,20,68
110,23,96
111,64,37
112,37,19
113,19,76
114,25,76
115,80,36
116,36,11
117,41,35
118,5,55
119,53,82
120,53,10
121,53,79
122,82,12
123,83,44
124,83,86
125,13,67
126,91,51
127,84,51
128,90,8
129,39,24
130,29,24
131,30,88
132,44,46
