ID,Source_ID,Destination_ID
0,16,3
1,76,21
2,56,51
3,65,27
4,69,47
5,68,65
6,50,3
7,76,57
8,23,78
9,15,61
10,58,61
11,14,77
12,77,63
13,15,31
14,56,77
15,7,17
16,7,6
17,4,72
18,72,35
19,7,68
20,68,59
21,24,14
22,39,2
23,62,22
24,4,5
25,8,38
26,24,40
27,40,26
28,74,42
29,74,53
30,79,65
31,30,43
32,25,54
33,25,20
34,25,44
35,39,11
36,11,12
37,79,45
38,17,26
39,80,73
40,56,36
41,69,36
42,9,53
43,69,49
44,35,38
45,64,19
46,58,51
48,62,13
49,25,13
50,64,13
51,54,60
52,40,42
53,8,29
54,29,13
55,30,76
57,68,50
58,80,50
59,46,57
60,57,3
61,75,12
62,75,3
63,64,37
64,37,70
65,70,34
66,59,27
67,26,23
68,18,26
69,49,27
70,77,47
71,74,33
72,13,55
73,72,19
74,74,19
75,71,44
76,60,71
77,54,67
78,70,10
79,63,52
80,55,5
81,25,22
82,14,48
83,47,41
84,31,1
85,45,2
86,73,2
87,25,66
88,25,66
89,70,66
90,70,66
91,66,34
92,46,6
93,43,6
94,67,20
95,48,53
96,28,61
97,31,52
98,28,52
99,10,44
100,9,1
101,18,41
102,32,33
103,16,21
104,72,78
105,32,78
